Year,Oil_Rents,Services ,Industry,FDI ,Vision2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,46.4263035,44.22155383,48.55343057,1.582360441,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,29.90550636,44.95472317,48.266273,0.12100748,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,30.76939195,41.662349,51.02260642,-0.05757865,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,29.6876074,44.79270631,47.34549617,1.028217646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,26.54820791,45.17985896,47.09677419,0.258430621,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,28.12703417,44.27461719,48.47937856,-1.307817642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,33.46509502,41.68878357,51.44978635,-0.710606971,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,29.27753983,43.01389787,50.1700631,1.831404664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,21.2667759,48.86338861,43.17669801,2.918380547,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,27.12476727,45.93223721,46.82482492,-0.481664273,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,41.66917084,40.29107293,53.45028219,-0.992569099,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,33.35266274,43.05070411,50.78129978,0.010665937,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,31.34244784,42.92103479,51.00264127,-0.323899964,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,37.03452202,40.56487318,53.96396051,-0.271772776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,42.64093011,38.51659773,56.70562094,-0.129209725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,48.86063151,34.25551951,61.73723625,1.335158503,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,49.67009728,33.7619581,62.53699103,1.585536023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,47.43944297,33.80676624,62.69342268,1.484578845,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,54.085801,30.5115127,66.42934316,1.059256996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,34.63154171,41.72319353,54.64500095,0.101690387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,37.90113143,38.60886985,58.03144017,0.923670092,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,49.16121888,34.0894613,63.08038698,0.688133632,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,47.40938523,35.23269278,61.94289828,0.669626014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,44.45649855,38.14844813,58.97025688,0.437984196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,40.32196899,40.75842598,56.16534048,0.191711517,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,23.95679932,51.64519225,44.60116971,0.572622098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,20.00517714,53.55091578,42.5305962,3.185186119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,23.61707191,51.43365514,44.88993247,0.136801407,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,28.08428116,46.02234001,49.01474395,1.369456833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,24.32957801,49.06409131,45.72344599,0.346411456,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,15.97891078,54.58749636,38.30045451,0.211115523,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,23.68629406,45.80183496,45.9573311,2.885061217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
